ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,estacion_Invierno,estacion_Invierno_lower,estacion_Invierno_upper,estacion_Otoño,estacion_Otoño_lower,estacion_Otoño_upper,estacion_Primavera,estacion_Primavera_lower,estacion_Primavera_upper,estacion_Verano,estacion_Verano_lower,estacion_Verano_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,is_day,is_day_lower,is_day_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-02-25 00:00:00,12.502984465436242,8.29929787160111,13.349396577004944,12.502984465436242,12.502984465436242,-1.5846121201594678,-1.5846121201594678,-1.5846121201594678,-1.2256190044931692,-1.2256190044931692,-1.2256190044931692,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,-0.03004798566629906,-0.03004798566629906,-0.03004798566629906,0.0,0.0,0.0,10.918372345276774
2025-02-25 01:00:00,12.502363166425278,8.063450573790576,13.344942784360573,12.502363166425278,12.502363166425278,-1.7691042761398978,-1.7691042761398978,-1.7691042761398978,-1.393090972957078,-1.393090972957078,-1.393090972957078,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,-0.04706817318281954,-0.04706817318281954,-0.04706817318281954,0.0,0.0,0.0,10.73325889028538
2025-02-25 02:00:00,12.501741867414312,7.915826536269533,13.246447370445724,12.501741867414312,12.501741867414312,-1.9771604298147103,-1.9771604298147103,-1.9771604298147103,-1.5841932820762592,-1.5841932820762592,-1.5841932820762592,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,-0.06402201773845097,-0.06402201773845097,-0.06402201773845097,0.0,0.0,0.0,10.524581437599602
2025-02-25 03:00:00,12.501120568403348,7.723425446711221,12.841290693954162,12.501120568403348,12.501120568403348,-2.1465099475616287,-2.1465099475616287,-2.1465099475616287,-1.736734837918357,-1.736734837918357,-1.736734837918357,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,-0.08082997964327157,-0.08082997964327157,-0.08082997964327157,0.0,0.0,0.0,10.354610620841719
2025-02-25 04:00:00,12.500499269392382,7.59251180084391,12.844619404016635,12.500499269392382,12.500499269392382,-2.2659466715324306,-2.2659466715324306,-2.2659466715324306,-1.839587927636093,-1.839587927636093,-1.839587927636093,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,-0.09741361389633715,-0.09741361389633715,-0.09741361389633715,0.0,0.0,0.0,10.23455259785995
2025-02-25 05:00:00,12.49987797038142,7.551160538531017,12.767898664239098,12.49987797038142,12.49987797038142,-2.35705730904158,-2.35705730904158,-2.35705730904158,-1.9144160243629629,-1.9144160243629629,-1.9144160243629629,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,-0.11369615467861714,-0.11369615467861714,-0.11369615467861714,0.0,0.0,0.0,10.14282066133984
2025-02-25 06:00:00,12.499256671370455,7.620590018731483,12.807235120360957,12.499256671370455,12.499256671370455,-2.389448590501315,-2.389448590501315,-2.389448590501315,-1.9309003800023208,-1.9309003800023208,-1.9309003800023208,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,-0.12960308049899455,-0.12960308049899455,-0.12960308049899455,0.0,0.0,0.0,10.10980808086914
2025-02-25 07:00:00,12.498635372359491,7.736460030108599,12.913598800281328,12.498635372359491,12.498635372359491,-2.240504856495606,-2.240504856495606,-2.240504856495606,-1.7664970718143056,-1.7664970718143056,-1.7664970718143056,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,-0.14506265468130045,-0.14506265468130045,-0.14506265468130045,0.0,0.0,0.0,10.258130515863884
2025-02-25 08:00:00,12.498014073348527,8.059697947311284,13.177637742975527,12.498014073348527,12.498014073348527,-1.770882208191545,-1.770882208191545,-1.770882208191545,-1.2819306420671308,-1.2819306420671308,-1.2819306420671308,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,-0.16000643612441445,-0.16000643612441445,-0.16000643612441445,0.0,0.0,0.0,10.727131865156982
2025-02-25 09:00:00,12.497392774337563,9.453185919286778,14.723544538952481,12.497392774337563,12.497392774337563,-0.25295783746918626,-0.25295783746918626,-0.25295783746918626,-0.4587590017941368,-0.4587590017941368,-0.4587590017941368,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38017091999999997,0.38017091999999997,0.38017091999999997,0.70911605,0.70911605,0.70911605,-0.17436975567504936,-0.17436975567504936,-0.17436975567504936,0.0,0.0,0.0,12.244434936868377
